order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-102201,2026-03-13,Central,Bhopal,Cycling Helmet,Sports,1,1526,1526,CUST-81319,Website
UK-2026-102615,2026-04-25,South,Chennai,Formal Shirt,Fashion,3,1115,3345,CUST-39787,App
UK-2026-102035,2026-03-13,West,Surat,Electric Kettle 1.5L,Home & Kitchen,1,1153,1153,CUST-90603,App
UK-2026-103882,2026-05-31,West,Surat,Bluetooth Speaker Mini,Electronics,,1559,3118,CUST-23499,Website
UK-2026-101734,2026-03-06,East,Patna,Silk Saree,Fashion,1,3407,3407,CUST-85796,Website
UK-2026-104036,2026-06-10,North,Delhi,Eau de Parfum 100ml,Beauty,1,2021,2021,CUST-57253,App
UK-2026-103096,2026-05-10,Central,Raipur,Sunscreen SPF50,Beauty,2,537,1074,CUST-40746,App
UK-2026-104976,2026-06-24,West,Pune,Cotton Kurta Set,Fashion,2,1236,"2,472.00",CUST-22574,App
UK-2026-104354,2026-06-17,South,Hyderabad,Adjustable Dumbbells 15kg,Sports,1,5052,5052,CUST-32283,App
UK-2026-101684,2026-03-13,South,Bengaluru,Mirrorless Camera Lite,Electronics,1,30444,30444,CUST-84202,Marketplace
UK-2026-102668,2026-04-25,Central,Nagpur,Ethnic Dupatta,Fashion,2,517,1034,CUST-64448,App
UK-2026-100293,2026-01-06,South,Hyderabad,Modern Wall Clock,Home & Kitchen,1,839,839,CUST-40702,App
UK-2026-104156,2026-06-19,West,Mumbai,Bluetooth Speaker Mini,Electronics,1,1504,1504,CUST-64517,App
UK-2026-104606,2026-06-17,West,Pune,Leather Wallet,Fashion,1,874,874,CUST-53501,Marketplace
UK-2026-102250,2026-04-05,South,Hyderabad,Matte Lipstick Set,Beauty,2,927,1854,CUST-70199,Website
UK-2026-101394,2026-02-27,South,Chennai,Leather Wallet,Fashion,1,919,919,CUST-69974,Website
UK-2026-103185,2026-05-30,Central,Nagpur,Cotton Bedsheet Set,Home & Kitchen,,1433,1433,CUST-19865,App
UK-2026-103317,2026-05-24,South,Kochi,Matte Lipstick Set,Beauty,2,921,1842,CUST-92081,Website
UK-2026-100729,2026-02-03,Central,Indore,Ethnic Dupatta,Fashion,1,491,491,CUST-81464,Website
UK-2026-104139,2026-06-09,North,Delhi,Ionic Hair Dryer,Beauty,1,1869,1869,CUST-39554,App
UK-2026-103074,2026-04-04,South,Bengaluru,Cotton Bedsheet Set,Home & Kitchen,1,1359,1359,CUST-69997,Website
UK-2026-102841,2026-04-06,Central,Indore,Cycling Helmet,Sports,1,1544,1544,CUST-58328,Marketplace
UK-2026-103385,2026-05-23,West,Surat,Mixer Grinder 750W,Home & Kitchen,1,3404,3404,CUST-88114,App
UK-2026-100070,2026-01-30,South,Kochi,Non-Stick Cookware Set,Home & Kitchen,2,2922,5844,CUST-26238,Website
UK-2026-100533,2026-01-05,South,Hyderabad,Noise-Cancelling Headphones,Electronics,1,9168,9168,CUST-22574,App
UK-2026-101192,2026-02-05,North,Chandigarh,Silk Saree,Fashion,-1,3457,3457,CUST-27463,Website
UK-2026-103342,2026-05-13,North,Delhi,Denim Jacket,Fashion,1,2256,2256,CUST-10140,App
UK-2026-101422,2026-02-24,North,Chandigarh,  Yoga Mat Pro,Sports,1,1145,1145,CUST-52493,Marketplace
UK-2026-100746,2026-02-25,South,Bengaluru,Formal Shirt,Fashion,1,1093,1093,CUST-38313,App
UK-2026-103921,2026-05-20,West,Ahmedabad,Air Fryer 5L,Home & Kitchen,4,5594,22376,CUST-61362,Website
UK-2026-103500,2026-05-23,South,Bengaluru,Gym Gloves,Sports,1,482,482,CUST-72625,App
UK-2026-102181,2026-03-23,South,Bengaluru,Silk Saree,Fashion,1,3352,3352,CUST-66048,Website
UK-2026-100510,2026-01-19,North,Gurugram,Silk Saree,Fashion,1,3398,3398,CUST-33136,App
UK-2026-101068,2026-02-14,South,Kochi,Leather Wallet,Fashion,1,922,922,CUST-11330,App
UK-2026-104922,2026-06-06,North,Gurugram,Electric Kettle 1.5L,Home & Kitchen,4,1147,4588,CUST-94028,App
UK-2026-100157,2026-01-29,South,Chennai,Leather Wallet,Fashion,1,937,937,CUST-81187,Website
UK-2026-100024,2026-01-13,South,Bengaluru,Yoga Mat Pro,Sports,4,1147,4588,CUST-54547,Website
UK-2026-100902,2026-02-18,South,Chennai,43-inch Smart TV,Electronics,1,26508,26508,CUST-38113,Marketplace
UK-2026-104551,2026-06-26,South,Hyderabad,Ultrabook Air 14,Electronics,1,30028,30028,CUST-66555,Marketplace
UK-2026-101730,2026-03-17,South,Bengaluru,Power Bank 20000mAh,Electronics,2,1822,3644,CUST-80041,App
UK-2026-103182,2026-05-17,North,Chandigarh,Power Bank 20000mAh,Electronics,1,1819,1819,CUST-64007,Website
UK-2026-100621,24/01/2026,West,Mumbai,Ethnic Dupatta,Fashion,1,510,510,CUST-89000,App
UK-2026-102463,2026-04-25,South,Hyderabad,Leather Wallet,Fashion,1,864,864.00,CUST-92154,Website
UK-2026-104244,2026-06-09,West,Mumbai,Vitamin C Serum,Beauty,1,675,675,CUST-73272,App
UK-2026-103795,2026-05-15,Central,Nagpur,Power Bank 20000mAh,Electronics,1,1836,1836,CUST-18724,Marketplace
UK-2026-104962,2026-06-01,West,Mumbai,Power Bank 20000mAh,Electronics,1,1875,1875,CUST-15532,App
UK-2026-102619,2026-04-10,South,Chennai,Eau de Parfum 100ml,Beauty,1,2052,2052,CUST-39964,App
UK-2026-101815,2026-03-24,East,Bhubaneswar,Cricket Bat English Willow,Sports,2,9077,18154,CUST-68282,App
UK-2026-103253,2026-05-29,South,Hyderabad,Cycling Helmet,Sports,1,1623,1623,CUST-84674,App
UK-2026-101898,2026-03-22,East,Patna,43-inch Smart TV,Electronics,1,26867,26867,CUST-41268,Website
UK-2026-104921,2026-06-24,West,Surat,Sunscreen SPF50,Beauty,1,561,561,CUST-79205,App
UK-2026-103758,2026-05-29,South,Bengaluru,Mirrorless Camera Lite,Electronics,1,29247,29247,CUST-85745,Website
UK-2026-103946,2026-05-16,North,Chandigarh,Slim Fit Jeans,Fashion,,1616,1616,CUST-50886,Marketplace
UK-2026-103915,2026-05-26,North,Gurugram,43-inch Smart TV,Electronics,1,26568,26568,CUST-82512,App
UK-2026-104089,2026-06-20,South,Bengaluru,Wireless Earbuds Pro,Electronics,1,2896,2896,CUST-52363,Marketplace
UK-2026-103523,2026-05-12,Central,Nagpur,Modern Wall Clock,Home & Kitchen,1,792,792,CUST-54461,Website
UK-2026-103214,2026-05-02,East,Patna,Silk Saree,Fashion,2,3449,6898,CUST-10210,App
UK-2026-100723,2026-02-04,East,Bhubaneswar,Denim Jacket,Fashion,1,2200,2200,CUST-64517,Website
UK-2026-102624,2026-04-09,Central,Indore,Beard Grooming Kit,Beauty,1,992,992,CUST-39964,Website
UK-2026-103043,2026-04-23,South,Kochi,Mixer Grinder 750W,Home & Kitchen,1,3463,3463,CUST-54953,App
UK-2026-100945,2026-02-01,South,Madras,Slim Fit Jeans,Fashion,2,1668,3336,CUST-43744,Website
UK-2026-104819,2026-06-11,North,Delhi,Smart Watch X2,Electronics,1,4501,4501,CUST-38113,Marketplace
UK-2026-101129,2026-02-26,South,Bengaluru,Air Fryer 5L,Home & Kitchen,1,5768,5768,CUST-65799,App
UK-2026-104133,2026-06-08,South,Bengaluru,Smart Watch X2,Electronics,3,4443,13329,CUST-95458,Website
UK-2026-103561,2026-05-10,,Chandigarh,Dinner Set 24pc,Home & Kitchen,2,2588,5176,CUST-95906,App
UK-2026-103421,2026-05-14,South,Kochi,Formal Shirt,Fashion,4,1056,4224,CUST-40021,App
UK-2026-104092,2026-06-06,West,Surat,Mixer Grinder 750W,Home & Kitchen,2,3419,6838,CUST-91883,Website
UK-2026-100898,2026-02-16,South,Hyderabad,Yoga Mat Pro,Sports,,1161,1161,CUST-94379,App
UK-2026-104923,2026-06-25,South,Bengaluru,Formal Shirt,Fashion,0,1137,1137,CUST-31213,App
UK-2026-100416,2026-01-20,North,Gurugram,Cricket Bat English Willow,Sports,1,8638,8638,CUST-95009,Website
UK-2026-100465,2026-01-01,South,Chennai,Bluetooth Speaker Mini,Electronics,1,1505,1505,CUST-74746,App
UK-2026-100788,2026-02-19,North,Gurugram,Mirrorless Camera Lite,Electronics,4,29963,119852,CUST-15004,App
UK-2026-104659,2026-06-01,South,Kochi,Silk Saree,Fashion,2,3480,6960,CUST-35558,App
UK-2026-103054,2026-04-15,West,Pune,Cotton Bedsheet Set,Home & Kitchen,1,1423,1423,CUST-17668,App
UK-2026-104367,2026-06-19,South,Chennai,Silk Saree,Fashion,2,3529,7058,CUST-57253,App
UK-2026-100316,2026-01-16,North,Delhi,Sunscreen SPF50,Beauty,1,561,561,CUST-68709,Website
UK-2026-102724,2026-04-14,East,Guwahati,43-inch Smart TV,Electronics,3,26784,80352,CUST-77588,App
UK-2026-104203,24-06-26,North,Delhi,Running Sneakers,Fashion,1,2782,2782,CUST-86912,Marketplace
UK-2026-103802,2026-05-13,South,Bengaluru,Non-Stick Cookware Set,Home & Kitchen,1,2896,2896,CUST-43354,Marketplace
UK-2026-103080,2026-04-10,West,Ahmedabad,Football Size 5,Sports,1,894,894,CUST-36333,Website
UK-2026-101221,2026-02-20,West,Ahmedabad,Running Sneakers,Fashion,2,2712,5424,CUST-39493,App
UK-2026-101095,2026-02-27,Central,Indore,Cotton Kurta Set,Fashion,1,1239,1239,CUST-23153,App
UK-2026-103850,2026-05-07,South,Hyderabad,Ethnic Dupatta,Fashion,1,491,491,CUST-78815,App
UK-2026-100740,2026-02-17,South,Hyderabad,Wireless Earbuds Pro,Electronics,1,3005,3005,CUST-22800,App
UK-2026-103735,2026-05-09,South,Chennai,Ethnic Dupatta,Fashion,2,491,982,CUST-97491,Marketplace
UK-2026-100975,2026-02-22,South,Kochi,Slim Fit Jeans,Fashion,1,1551,1551,CUST-42903,App
UK-2026-104439,2026-06-10,North,Delhi,Mirrorless Camera Lite,Electronics,1,28270,28270,CUST-17668,Marketplace
UK-2026-102708,2026-04-26,West,Mumbai,Vitamin C Serum,Beauty,3,714,2142,CUST-21776,App
UK-2026-103537,2026-05-19,East,Bhubaneswar,Foldable Treadmill T2,Sports,1,25225,25225,CUST-11335,App
UK-2026-102530,2026-04-07,East,Guwahati,Bluetooth Speaker Mini,Electronics,1,1566,1566,CUST-63345,Website
UK-2026-101287,2026-02-21,South,Chennai,Formal Shirt,Fashion,1,1131,1131,CUST-36668,App
UK-2026-100405,2026-01-27,Central,Nagpur,Beard Grooming Kit,Beauty,1,969,₹969,CUST-30361,App
UK-2026-102916,2026-04-09,North,Gurugram,Bluetooth Speaker Mini,Electronics,1,1432,1432,CUST-80991,Marketplace
UK-2026-104993,2026-06-13,West,Surat,Gym Gloves,Sports,1,504,504,CUST-60526,Website
UK-2026-100736,2026-02-19,Central,Indore,Air Fryer 5L,Home & Kitchen,3,5400,16200,CUST-46777,App
UK-2026-103444,2026-05-22,West,Mumbai,Non-Stick Cookware Set,Home & Kitchen,1,2876,2876,CUST-31164,Marketplace
UK-2026-100640,2026-01-07,West,Surat,Cotton Kurta Set,Fashion,2,1284,2568,CUST-21776,Website
UK-2026-103633,2026-05-13,South,Kochi,Noise-Cancelling Headphones,Electronics,2,9156,18312,CUST-83174,App
UK-2026-100452,2026-01-07,Central,Nagpur,Cotton Bedsheet Set,Home & Kitchen,1,1464,1464,CUST-82324,Website
UK-2026-104350,2026-06-20,South,Kochi,Sunscreen SPF50,Beauty,1,531,531,CUST-45092,Website
UK-2026-102470,2026-04-22,Central,Indore,Eau de Parfum 100ml,Beauty,1,2095,2095,CUST-25619,Website
UK-2026-100432,2026-01-28,East,Kolkata,Air Fryer 5L,Home & Kitchen,2,5242,"10,484.00",CUST-29097,Website
UK-2026-100752,2026-02-16,South,Chennai,Silk Saree,Fashion,1,3669,3669,CUST-89314,Website
UK-2026-102004,2026-03-10,South,Hyderabad,43-inch Smart TV,Electronics,1,26969,26969,CUST-28685,Marketplace
UK-2026-102987,2026-04-13,West,Surat,Football Size 5,Sports,2,862,1724,CUST-29112,App
UK-2026-103340,2026-05-17,North,Delhi,Slim Fit Jeans,Fashion,1,1551,1551,CUST-35758,App
UK-2026-102695,2026-04-25,West,Pune,Slim Fit Jeans,Fashion,2,1521,3042,CUST-59468,Marketplace
UK-2026-102358,2026-04-12,Central,Indore,Cricket Bat English Willow,Sports,1,9332,9332,CUST-26285,Website
UK-2026-103310,2026-05-22,West,Mumbai,Face Wash Combo,Beauty,1,428,428,CUST-65799,App
UK-2026-100802,2026-02-16,West,Mumbai,Mixer Grinder 750W,Home & Kitchen,1,3232,3232,CUST-87734,App
UK-2026-102466,2026-04-18,North,Noida,Cricket Bat English Willow,Sports,2,9025,"18,050.00",CUST-16688,Website
UK-2026-101289,2026-02-04,South,Bengaluru,Wireless Earbuds Pro,Electronics,1,2896,2896,CUST-85963,App
UK-2026-102441,2026-04-02,South,Hyderabad,Running Sneakers,Fashion,4,2671,10684,CUST-12501,App
UK-2026-102371,2026-04-21,North,Noida,Ultrabook Air 14,Electronics,1,29280,29280,CUST-32705,Website
UK-2026-102715,2026-04-05,South,Cochin,Cycling Helmet,Sports,1,1595,1595,CUST-61842,App
UK-2026-103400,2026-05-14,West,Mumbai,Adjustable Dumbbells 15kg,Sports,1,5159,5159,CUST-61362,Marketplace
UK-2026-100208,2026-01-15,South,Hyderabad,Beard Grooming Kit,Beauty,1,1007,1007,CUST-55305,Website
UK-2026-101355,2026-02-22,West,Ahmedabad,Dinner Set 24pc   ,Home & Kitchen,1,2533,2533,CUST-88114,Website
UK-2026-104673,2026-06-11,South,Bengaluru,Electric Kettle 1.5L,Home & Kitchen,1,1079,1079,CUST-49801,App
UK-2026-102883,2026-04-26,West,Surat,Foldable Treadmill T2,Sports,1,24421,24421,CUST-35352,Website
UK-2026-101892,2026-03-09,East,Kolkata,Eau de Parfum 100ml,Beauty,1,2072,2072,CUST-68709,Website
UK-2026-100268,2026-01-27,South,Bengaluru,Bluetooth Speaker Mini,Electronics,1,1566,1566,CUST-55275,App
UK-2026-101169,2026-02-27,,Bengaluru,Badminton Racket Set,Sports,1,2388,2388,CUST-73442,Marketplace
UK-2026-101588,2026-03-11,East,Guwahati,Slim Fit Jeans,Fashion,,1673,3346,CUST-12421,Website
UK-2026-102473,2026-04-09,South,Kochi,Robot Vacuum R7,Home & Kitchen,1,19628,19628,CUST-70674,Website
UK-2026-103076,2026-04-27,North,Gurugram,Air Fryer 5L,Home & Kitchen,2,5531,11062,CUST-98797,App
UK-2026-100916,2026-02-20,Central,Bhopal,Robot Vacuum R7,Home & Kitchen,1,18107,18107,CUST-31213,App
UK-2026-100067,2026-01-19,South,Hyderabad,Adjustable Dumbbells 15kg,Sports,2,4833,9666,CUST-61854,Website
UK-2026-104808,2026-06-10,Central,Nagpur,Mirrorless Camera Lite,Electronics,2,29968,59936,CUST-92380,Marketplace
UK-2026-102423,2026-04-23,West,Surat,Matte Lipstick Set,Beauty,3,875,2625,CUST-58403,App
UK-2026-103878,26/05/2026,West,Surat,Foldable Treadmill T2,Sports,2,26241,52482,CUST-52769,App
